品牌 (Brand),車型型號 (Model),Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9
HONDA,EX5 Dream,"4,010","3,790","3,520","3,250","3,050","2,830","2,610","2,340","2,140"
HONDA,EX5 Dream (SELF),"4,180","3,960","3,680","3,400","3,170","2,960","2,730","2,450","2,230"
HONDA,EX5 Dream 110 (Kick),"3,970","3,760","3,500","3,230","3,020","2,800","2,600","2,330","2,120"
HONDA,EX5 Dream 110 (SELF),"4,170","3,950","3,670","3,390","3,160","2,950","2,720","2,440","2,220"
HONDA,EX5 Dream FI (Kick),"4,430","4,190","3,900","3,600","3,360","3,130","2,890","2,600","2,360"
HONDA,EX5 Dream FI (Self),"4,280","4,050","3,770","3,480","3,250","3,030","2,790","2,510","2,280"
HONDA,Wave 100 (KICK DRUM),"4,010","3,790","3,520","3,250","3,050","2,830","2,610","2,340","2,140"
HONDA,Wave 100R (KICK),"3,480","3,290","3,060","2,830","2,640","2,480","2,270","2,040","1,850"
HONDA,Wave 100R (SELF),"3,670","3,470","3,230","2,980","2,790","2,610","2,400","2,150","1,960"
HONDA,Wave 110 STD,"3,710","3,510","3,270","3,020","2,820","2,620","2,430","2,170","1,980"
HONDA,Wave 110 DX,"4,240","4,020","3,730","3,450","3,230","2,990","2,770","2,490","2,260"
HONDA,Wave 110R (KICK SPOKE),"3,770","3,570","3,320","3,060","2,880","2,690","2,460","2,210","2,010"
HONDA,Wave 110RS (KICK CAST),"3,900","3,690","3,430","3,170","2,990","2,790","2,550","2,290","2,080"
HONDA,Wave 110RS (ELECTRIC CAST),"4,070","3,860","3,590","3,310","3,120","2,900","2,660","2,390","2,170"
HONDA,Wave Dash (Kick),"4,600","4,350","4,050","3,740","3,500","3,240","3,000","2,700","2,450"
HONDA,Wave Dash (Elec),"4,830","4,570","4,250","3,930","3,670","3,410","3,150","2,830","2,570"
HONDA,Wave Dash SE,"4,900","4,640","4,320","3,980","3,720","3,460","3,200","2,880","2,610"
HONDA,Wave Dash S,"4,830","4,570","4,250","3,930","3,670","3,410","3,150","2,830","2,570"
HONDA,Wave Dash R,"5,060","4,790","4,460","4,120","3,850","3,580","3,310","2,970","2,700"
