機車車牌 (vehicle no),品牌 (brand),機車型號 (model),製造年份 (MYear),買入價格 (Total Cost),顏色 (colour),買入日期 (purchase date)
JGY 1675,COMEL,JR-125Z STORM,2003,"1,258.45",BLACK,15-03-2007
JHB 879,COMEL-QUEST,JD-125R QUEST,2003,"1,049.40",BLACK,25-10-2016
JRR 6935,DEMAK,DJ,2014,"3,132.20",BLUE,13-09-2017
JRP 1458,MODENAS,DINAMIK AS120C-AIMY,2015,"2,894.83",YELLOW,14-01-2019
JQY 1862,MODENAS,DINAMIK AS120C-AIMY,2015,"8,431.63",RED,14-05-2019
JSC 2478,MODENAS,DINAMIK AS120C-AIMY,2015,"8,849.48",BLUE,19-09-2019
JJD 1214,YAMAHA,NOUVO S,2005,"4,957.30",WHITE,29-11-2019
JST 2766,HONDA,NBC110MD,2013,"3,570.00",RED,01-09-2020
JQL 3909,HONDA,AFS125MCR,2014,"2,522.50",BLUE,07-11-2020
JRT 8459,MODENAS,DINAMIK AS120C-AIMY,2015,"4,006.15",BLUE,19-12-2020
WC 9331,YAMAHA,NMAX,2016,"4,740.00",TGREY,02-02-2021
JME 4134,YAMAHA,NOUVO S,2010,"1,623.60",BLACK,24-05-2021
JNY 1485,YAMAHA,EGO S,2012,"2,400.00",RED,27-05-2021
JPG 3009,HONDA,AFS125MCS (CAST FRDISK,2012,"3,178.10",BLACK,20-09-2021
JKT 4833,YAMAHA,EGO S,2007,"2,734.70",BLACK,17-11-2021
JQR 6816,YAMAHA,LAGENDA 115Z (K),2014,"2,488.80",ORANGE,10-01-2022
JNW 4636,HONDA,CBR250RB (MA),2012,"10,000.00",BLACK,30-01-2022
JVE 4319,HONDA,AFP110MCRE,2014,"2,300.00",RED,18-04-2022
JUQ 6155,HONDA,FS150FL,2021,"10,905.00",BLUE,22-04-2022
NDE 7581,HONDA,AFP110MCSE DASH,2015,"1,500.00",BLACK,30-04-2022
VEQ 9130,HONDA,FS150FL,2020,"5,000.00",ORANGE,05-09-2022
JLV 8082,YAMAHA,EGO S,2009,"2,531.50",BLACK,06-09-2022
MCS 8341,HONDA,AFP110MCSE DASH,2015,"1,650.00",BLACK,03-10-2022
JNL 9263,YAMAHA,LAGENDA 115Z (E),2012,"1,567.50",BLUE,12-12-2022
JRR 1936,KAWASAKI,EX250-L NINJA 250,2016,"8,920.30",GREEN,14-12-2022
JUY 4666,WMOTO,XTREME150I,2021,"6,800.00",GREY,18-01-2023
MDK 7392,BENELLI,VZ125i,2021,"3,100.00",RED,25-02-2023
VEU 7428,HONDA,FS150FL2,2020,"5,000.00",BLUE,04-03-2023
JMD 3382,HONDA,AFX110CS,2010,"2,041.40",BLACK,21-03-2023
CDM 158,HONDA,AFP110MCRE,2014,"2,250.00",BLACK,29-03-2023
JUX 6830,WMOTO,ES125 STD,2021,"5,499.00",RED,01-04-2023
JLX 1057,HONDA,C100,2009,"2,000.00",BLUE,14-04-2023
NDP 9504,HONDA,AFS125MCSH,2019,"3,066.80",BLACK,15-04-2023
JPV 8625,YAMAHA,EGO LC,2013,"2,000.00",BLACK,26-04-2023
JVL 6512,SM SPORT,110R,2022,"2,893.50",BLACK,16-05-2023
JQT 4177,HONDA,AFP110MCRE,2015,"1,539.50",BLACK,19-05-2023
JUK 4890,HONDA,FS150FL3,2020,"5,781.00",BLUE,27-05-2023
JUW 7574,SYM,JET X 150,2021,"6,300.00",GREY,27-06-2023
JSJ 6793,YAMAHA,EGO'S,2017,"1,316.00",RED,07-07-2023
JSM 5640,HONDA,RS150 REPSOL,2017,"4,500.00",ORANGE,21-07-2023
JTQ 5663,SM SPORT,110R,2019,"2,000.00",BLUE,21-08-2023
JTH 8544,BENELLI,VZ125i,2019,"5,500.00",RED,17-11-2023
VGB 1522,HONDA,ACB150CBTK3 VARIO REPS,2021,"4,086.00",BLACK A (G,18-11-2023
JUX 7370,SM SPORT,110R,2021,"3,209.00",BLACK,23-11-2023
JQC 5534,YAMAHA,135LC,2014,"3,358.00",RED,25-11-2023
JTT 6499,SM SPORT,110R,2019,"2,051.00",BLACK,28-11-2023
JTH 2792,HONDA,AFP125CSFK,2018,"3,718.00",BLACK,01-12-2023
JPE 6504,YAMAHA,LAGENDA 115ZRI,2013,"5,628.00",BLUE,27-12-2023
JWK 5102,WMOTO,ES250i,2022,"4,000.00",RED,30-12-2023
PNU 8532,HONDA,RS150 REPSOL,2018,"3,000.00",ORANGE,16-01-2024
JVM 4766,WMOTO,VE1-110E,2022,"4,723.00",BLACK,18-01-2024
JLP 2572,YAMAHA,EGO S,2009,"1,104.00",RED,24-01-2024
JTQ 1492,HONDA,AFP125CSFK,2019,"4,319.00",BLACK,30-01-2024
JRF 381,KAWASAKI,EX250L,2015,"3,162.00",GREEN,05-03-2024
JPM 8187,HONDA,"AFS125MS(SPOCK,FRDISK/",2013,"1,989.00",RED,20-04-2024
BPF 4342,YAMAHA,Y15ZR,2017,"5,383.50",RED,26-06-2024
JKX 8550,YAMAHA,EGO,2008,"1,367.00",BLACK,22-07-2024
SU 9125F,HONDA,FS150FL,2020,"4,850.00",BLACK,26-07-2024
JPP 4218,YAMAHA,EGO S,2013,"2,369.50",RED,29-08-2024
JTF 3560,HONDA,FS150FJ,2019,"3,500.00",BLUE,23-09-2024
MBU 2240,YAMAHA,NOUVO S,2009,"2,383.30",RED,01-11-2024
VKL 9767,WMOTO,ES250i,2022,"5,000.00",RED,14-11-2024
JVP 9020,WMOTO,F-15I,2021,"4,460.00",BLUE,23-11-2024
JSV 1910,MODENAS,DOMINAR-D400 DM400,2018,"5,045.00",BLACK,27-11-2024
JUE 4572,HONDA,RS150R,2020,"3,708.60",RED,21-12-2024
JX 1339,SUZUKI,FR 80,1977,254.30,BLUE,22-01-2025
JLK 6194,YAMAHA,EGO S,2008,"1,574.50",RED,24-01-2025
JTU 4782,YAMAHA,Y15ZR,2019,"4,656.50",GREY,24-03-2025
JJQ 4882,YAMAHA,EGO,2006,"2,578.00",BLACK,21-04-2025
JNB 4082,YAMAHA,EGO LC,2011,"1,000.00",RED,30-04-2025
JVH 3902,HONDA,RS150R,2022,"4,000.00",RED,02-05-2025
ANK 2630,WMOTO,RT1,2024,"5,000.00",BLUE,24-05-2025
JXQ 7170,YAMAHA,Y16ZR ABS,2024,"8,700.00",GREEN,29-05-2025
JKS 4031,YAMAHA,EGO S,2007,"3,365.00",BLACK,05-06-2025
WVQ 6582,YAMAHA,NOUVO LC,2011,"1,000.00",BLACK,06-06-2025
JTE 3782,HONDA,ACB150CBTK,2019,"2,500.00",ORANGE,28-06-2025
WJB 3120,SUZUKI,AN125,2000,300.00,YELLOW,10-07-2025
JTS 4177,HONDA,RS150 REPSOL,2017,"1,800.00",BLACK,23-07-2025
