SHENMA CREDIT ISLAMIC HP FINANCING PRICELIST,,,
,,,
,,,
,,,
車型分類 (Classification),品牌 (Brand),車型名稱 (Model),售價 Max Finance Price (RM)
BIG BIKE,ARIIC,318GT,"25,380"
BIG BIKE,ARIIC,GOBI 250,"16,110"
BIG BIKE,ARIIC,TOUCH 250,"15,840"
SUPERBIKE,BENDA,CHINCHILLA 500,"28,935"
SUPERBIKE,BENDA,DARK FLAG 500,"40,230"
SUPERBIKE,BENDA,LFC700 PRO,"49,320"
BIG BIKE,BENDA,NAPOLEON BOB 250,"22,680"
SUPERBIKE,BENDA,NAPOLEON BOB 500,"28,935"
MOPED,BENELLI,150S (150-31),"10,215"
MOPED,BENELLI,150S (150-31) (SE),"10,575"
BIG BIKE,BENELLI,302R STD (BJ300GS-C),"22,725"
SUPERBIKE,BENELLI,502C (BJ500-6A),"32,130"
SUPERBIKE,BENELLI,752S,"39,060"
BIG BIKE,BENELLI,IMPERIALE 400 SE,"17,820"
BIG BIKE,BENELLI,IMPERIALE 400 SE (N1),"18,900"
BIG BIKE,BENELLI,IMPERIALE 400 STD,"16,200"
BIG BIKE,BENELLI,LEONCINO 250 (BJ250),"14,310"
BIG BIKE,BENELLI,LEONCINO 250 SE (BJ250-A),"16,200"
SUPERBIKE,BENELLI,LEONCINO 500 (BJ500),"30,240"
MOPED,BENELLI,PANAREA 125,"9,500"
MOPED,BENELLI,R18i,"8,910"
MOPED,BENELLI,R18i SE,"9,180"
MOPED,BENELLI,RFS150I LE (BJ150-10C),"8,100"
MOPED,BENELLI,RFS150I SE (BJ150-10B),"8,010"
MOPED,BENELLI,RFS150I STD (BJ150-10A),"7,740"
BIG BIKE,BENELLI,TNT 249S (BJ250GS-3),"17,910"
BIG BIKE,BENELLI,TNT 249S (BJ250GS-3-SE),"18,810"
MOPED,BENELLI,TNT135I LE (BJ125-3E2),"10,350"
MOPED,BENELLI,TNT135I SE(N1) (BJ125-3E2),"10,440"
MOPED,BENELLI,TNT135I STD (BJ125-3E),"8,550"
BIG BIKE,BENELLI,TNT25 STD (BJ250-15(IV)),"13,455"
BIG BIKE,BENELLI,TNT25-N,"14,310"
BIG BIKE,BENELLI,TNT300 STD (BJ300GS (III)),"20,655"
SUPERBIKE,BENELLI,TNT600 STD (BJ600GS (III)),"33,390"
BIG BIKE,BENELLI,TRK 251 (BJ250-18),"14,310"
BIG BIKE,BENELLI,TRK 251 SE (BJ250-18A),"15,750"
BIG BIKE,BENELLI,TRK 251 SE (N1),"17,100"
SUPERBIKE,BENELLI,TRK 502 X (BJ500GS-A3),"35,640"
SUPERBIKE,BENELLI,TRK502 LE (BJ500GS-A2),"33,750"
MOPED,BENELLI,VZ 125I (QJ125T-13B),"6,120"
MOPED,BENELLI,VZ 125I SE (QJ125T-13B-A),"6,480"
MOPED,BENELLI,VZ125I SE (N1),"7,470"
SUPERBIKE,BRIXTON,625V,"29,430"
MOPED,BRIXTON,BX150 (BX150-CLS),"12,519"
MOPED,BRIXTON,BX150 R (BX150R-CRA),"13,221"
MOPED,BRIXTON,BX150 X (BX150X-SCR),"12,870"
SUPERBIKE,BRIXTON,CROMWELL 1200,"55,080"
MOPED,BRIXTON,CROSSFIRE 150XS,"10,080"
MOPED,BRIXTON,FELSBERG 150XC,"13,320"
BIG BIKE,BRIXTON,MOUCCA 250,"14,580"
MOPED,BRIXTON,RAYBURN 150,"14,310"
SUPERBIKE,BRIXTON,STORR 500,"32,490"
SUPERBIKE,CFMOTO,1000MT-X,"53,190"
SUPERBIKE,CFMOTO,1250TR-G,"88,200"
BIG BIKE,CFMOTO,250 DUAL,"12,600"
BIG BIKE,CFMOTO,250CL-X,"17,280"
BIG BIKE,CFMOTO,250NK (250NK LITE),"12,600"
BIG BIKE,CFMOTO,250SR,"18,180"
BIG BIKE,CFMOTO,250SR LITE,"12,690"
BIG BIKE,CFMOTO,450CL-C,"26,730"
BIG BIKE,CFMOTO,450MTX,"31,590"
BIG BIKE,CFMOTO,450MTX (N1),"32,130"
BIG BIKE,CFMOTO,450NK,"26,640"
BIG BIKE,CFMOTO,450SR,"28,890"
BIG BIKE,CFMOTO,450SR (N1-N2),"30,690"
SUPERBIKE,CFMOTO,500SR VOOM,"36,450"
SUPERBIKE,CFMOTO,650GT (CF650-8),"34,380"
SUPERBIKE,CFMOTO,650MT (CF650-3C),"32,310"
SUPERBIKE,CFMOTO,675NK,"34,560"
SUPERBIKE,CFMOTO,675SR-R,"38,880"
SUPERBIKE,CFMOTO,700CL-X ADV,"35,910"
SUPERBIKE,CFMOTO,700CL-X HERITAGE,"30,780"
SUPERBIKE,CFMOTO,700CL-X SPORT,"34,380"
SUPERBIKE,CFMOTO,700MT,"34,560"
SUPERBIKE,CFMOTO,750SR-S,"42,570"
SUPERBIKE,CFMOTO,800 NK,"39,510"
SUPERBIKE,CFMOTO,800MT,"54,360"
SUPERBIKE,CFMOTO,800MT EXPLORE,"57,870"
SUPERBIKE,CFMOTO,800MT-X,"50,400"
MOPED,CFMOTO,PAPIO RACER,"10,080"
MOPED,CFMOTO,PAPIO XO,"10,080"
MOPED,CYCLONE,MK CLASSIC 125,"7,326"
SUPERBIKE,CYCLONE,RA600,"26,910"
BIG BIKE,CYCLONE,RT2E,"15,570"
BIG BIKE,CYCLONE,RT2S,"16,020"
BIG BIKE,CYCLONE,RT5,"19,260"
SUPERBIKE,CYCLONE,RX600,"30,780"
EV,EZI,RAY 01,"7,470"
EV,EZI,TS1,"7,830"
MOPED,KAMAX,SUPER PRO 125,"10,485"
MOPED,KAMAX,SUPER PRO 125 SE,"10,800"
MOPED,KEEWAY,BX200i,"11,070"
MOPED,KEEWAY,BX200i SE,"11,340"
MOPED,KEEWAY,CAFE 152 (QJ150-6B),"8,559"
BIG BIKE,KEEWAY,DORADO 250,"13,500"
MOPED,KEEWAY,K-LIGHT 202 (QJ200-2H),"10,710"
BIG BIKE,KEEWAY,PATAGONIAN EAGLE 250 (QJ250-3),"11,790"
BIG BIKE,KEEWAY,RKR 250,"15,390"
MOPED,KEEWAY,RKV200G,"8,100"
BIG BIKE,KEEWAY,SIXTIES 250,"15,480"
MOPED,KEEWAY,XDV 180 EVO,"12,420"
BIG BIKE,KTNS,250NK (N1),"14,400"
BIG BIKE,KTNS,250NK LE 250NK (CF250-A),"16,740"
BIG BIKE,KTNS,250NK SE 250NK (CF250-A),"16,020"
BIG BIKE,KTNS,250NK STD 250NK (CF250-A),"14,220"
MOPED,KTNS,CLASSIC 125GP (QM125-2X),"7,200"
BIG BIKE,KTNS,KTN GP 250 (QM250-2X) ANTIQUE,"12,780"
BIG BIKE,KTNS,KTN GP 250 (QM250-2X) CAFE RACER,"12,870"
BIG BIKE,KTNS,KTN GP 250 (QM250-2X) CLASSIC,"12,690"
BIG BIKE,KTNS,KTN RS3 (ZS 250GY-3 (II)) (SE) FL,"14,850"
BIG BIKE,KTNS,KTN RS3 (ZS 250GY-3 (II)) ADVENTURE,"16,200"
MOPED,KTNS,KTN Z ONE S 200 (ZS200-48),"8,190"
MOPED,KTNS,KTN200,"8,280"
MOPED,KTNS,KTN200S,"8,820"
BIG BIKE,KTNS,RA2,"13,950"
MOPED,KTNS,RHINO 125 (YG125-21A),"7,740"
MOPED,KTNS,TT-CLASSIC 150,"8,559"
BIG BIKE,KTNS,ZS 250GY-3 (II) RS3 ADV DH,"16,830"
BIG BIKE,KTNS,ZS 250GY-3 (II) RS3 DH,"15,300"
SUPERBIKE,MBP,C1002V,"56,070"
BIG BIKE,MBP,C252V,"18,540"
BIG BIKE,MBP,F252,"16,470"
SUPERBIKE,MBP,M502N,"29,070"
MOPED,MBP,SC200SR,"9,630"
SUPERBIKE,MBP,T1002VX,"48,690"
BIG BIKE,MBP,T250,"10,890"
BIG BIKE,MBP,T250X,"12,600"
BIG BIKE,MBP,T250X SE,"13,950"
BIG BIKE,MBP,T252X,"19,080"
SUPERBIKE,MBP,T502X,"29,700"
MOPED,MBP,VIZY 125,"6,660"
BIG BIKE,MOTOMORINI,ALLTRHIKE 450,"29,790"
SUPERBIKE,MOTOMORINI,CALIBRO 700,"36,450"
SUPERBIKE,MOTOMORINI,SEIEMMEZZO 650SCR,"34,560"
SUPERBIKE,MOTOMORINI,X-CAPE 1200,"53,640"
SUPERBIKE,MOTOMORINI,X-CAPE 650,"40,140"
SUPERBIKE,MOTOMORINI,X-CAPE 650X,"43,380"
SUPERBIKE,MOTOMORINI,X-CAPE 700,"34,560"
BIG BIKE,QJMOTOR,ATX 250,"14,850"
BIG BIKE,QJMOTOR,ATX 250 X,"16,470"
MOPED,QJMOTOR,AX200S,"11,070"
EV,QJMOTOR,E-LTR,"8,910"
BIG BIKE,QJMOTOR,FORT 350,"26,280"
MOPED,QJMOTOR,LTR 150,"10,305"
